(tree,root) pairs of Q4 by direction-0 vertical support S (base = Q3):
conjecture: count(S) = 2^|S| * F_base(S) * 3072   [F = S-rooted forests of base]
 |S|      S (base mask)          count  F_base(S)     match?
   1                0b1        2359296        384        YES
   1              0b100        2359296        384        YES
   1            0b10000        2359296        384        YES
   1          0b1000000        2359296        384        YES
   1        0b100000000        2359296        384        YES
   1      0b10000000000        2359296        384        YES
   1    0b1000000000000        2359296        384        YES
   1  0b100000000000000        2359296        384        YES
   2              0b101        2752512        224        YES
   2            0b10001        2752512        224        YES
   2            0b10100        3538944        288        YES
   2          0b1000001        3538944        288        YES
   2          0b1000100        2752512        224        YES
   2          0b1010000        2752512        224        YES
   2        0b100000001        2752512        224        YES
   2        0b100000100        3538944        288        YES
   2        0b100010000        3538944        288        YES
   2        0b101000000        3932160        320        YES
   2      0b10000000001        3538944        288        YES
   2      0b10000000100        2752512        224        YES
   2      0b10000010000        3932160        320        YES
   2      0b10001000000        3538944        288        YES
   2      0b10100000000        2752512        224        YES
   2    0b1000000000001        3538944        288        YES
   2    0b1000000000100        3932160        320        YES
   2    0b1000000010000        2752512        224        YES
   2    0b1000001000000        3538944        288        YES
   2    0b1000100000000        2752512        224        YES
   2    0b1010000000000        3538944        288        YES
   2  0b100000000000001        3932160        320        YES
   2  0b100000000000100        3538944        288        YES
   2  0b100000000010000        3538944        288        YES
   2  0b100000001000000        2752512        224        YES
   2  0b100000100000000        3538944        288        YES
   2  0b100010000000000        2752512        224        YES
   2  0b101000000000000        2752512        224        YES
   3            0b10101        2801664        114        YES
   3          0b1000101        2801664        114        YES
   3          0b1010001        2801664        114        YES
   3          0b1010100        2801664        114        YES
   3        0b100000101        2801664        114        YES
   3        0b100010001        2801664        114        YES
   3        0b100010100        3981312        162        YES
   3        0b101000001        3538944        144        YES
   3        0b101000100        3538944        144        YES
   3        0b101010000        3538944        144        YES
   3      0b10000000101        2801664        114        YES
   3      0b10000010001        3538944        144        YES
   3      0b10000010100        3538944        144        YES
   3      0b10001000001        3981312        162        YES
   3      0b10001000100        2801664        114        YES
   3      0b10001010000        3538944        144        YES
   3      0b10100000001        2801664        114        YES
   3      0b10100000100        2801664        114        YES
   3      0b10100010000        3538944        144        YES
   3      0b10101000000        3538944        144        YES
   3    0b1000000000101        3538944        144        YES
   3    0b1000000010001        2801664        114        YES
   3    0b1000000010100        3538944        144        YES
   3    0b1000001000001        3981312        162        YES
   3    0b1000001000100        3538944        144        YES
   3    0b1000001010000        2801664        114        YES
   3    0b1000100000001        2801664        114        YES
   3    0b1000100000100        3538944        144        YES
   3    0b1000100010000        2801664        114        YES
   3    0b1000101000000        3538944        144        YES
   3    0b1010000000001        3981312        162        YES
   3    0b1010000000100        3538944        144        YES
   3    0b1010000010000        3538944        144        YES
   3    0b1010001000000        3981312        162        YES
   3    0b1010100000000        2801664        114        YES
   3  0b100000000000101        3538944        144        YES
   3  0b100000000010001        3538944        144        YES
   3  0b100000000010100        3981312        162        YES
   3  0b100000001000001        3538944        144        YES
   3  0b100000001000100        2801664        114        YES
   3  0b100000001010000        2801664        114        YES
   3  0b100000100000001        3538944        144        YES
   3  0b100000100000100        3981312        162        YES
   3  0b100000100010000        3981312        162        YES
   3  0b100000101000000        3538944        144        YES
   3  0b100010000000001        3538944        144        YES
   3  0b100010000000100        2801664        114        YES
   3  0b100010000010000        3538944        144        YES
   3  0b100010001000000        2801664        114        YES
   3  0b100010100000000        2801664        114        YES
   3  0b101000000000001        3538944        144        YES
   3  0b101000000000100        3538944        144        YES
   3  0b101000000010000        2801664        114        YES
   3  0b101000001000000        2801664        114        YES
   3  0b101000100000000        2801664        114        YES
   3  0b101010000000000        2801664        114        YES
   4          0b1010101        2211840         45        YES
   4        0b100010101        2654208         54        YES
   4        0b101000101        2703360         55        YES
   4        0b101010001        2703360         55        YES
   4        0b101010100        3096576         63        YES
   4      0b10000010101        2703360         55        YES
   4      0b10001000101        2654208         54        YES
   4      0b10001010001        3096576         63        YES
   4      0b10001010100        2703360         55        YES
   4      0b10100000101        2211840         45        YES
   4      0b10100010001        2703360         55        YES
   4      0b10100010100        3096576         63        YES
   4      0b10101000001        3096576         63        YES
   4      0b10101000100        2703360         55        YES
   4      0b10101010000        3145728         64        YES
   4    0b1000000010101        2703360         55        YES
   4    0b1000001000101        3096576         63        YES
   4    0b1000001010001        2654208         54        YES
   4    0b1000001010100        2703360         55        YES
   4    0b1000100000101        2703360         55        YES
   4    0b1000100010001        2211840         45        YES
   4    0b1000100010100        3096576         63        YES
   4    0b1000101000001        3096576         63        YES
   4    0b1000101000100        3145728         64        YES
   4    0b1000101010000        2703360         55        YES
   4    0b1010000000101        3096576         63        YES
   4    0b1010000010001        3096576         63        YES
   4    0b1010000010100        3145728         64        YES
   4    0b1010001000001        3981312         81        YES
   4    0b1010001000100        3096576         63        YES
   4    0b1010001010000        3096576         63        YES
   4    0b1010100000001        2654208         54        YES
   4    0b1010100000100        2703360         55        YES
   4    0b1010100010000        2703360         55        YES
   4    0b1010101000000        3096576         63        YES
   4  0b100000000010101        3096576         63        YES
   4  0b100000001000101        2703360         55        YES
   4  0b100000001010001        2703360         55        YES
   4  0b100000001010100        2654208         54        YES
   4  0b100000100000101        3096576         63        YES
   4  0b100000100010001        3096576         63        YES
   4  0b100000100010100        3981312         81        YES
   4  0b100000101000001        3145728         64        YES
   4  0b100000101000100        3096576         63        YES
   4  0b100000101010000        3096576         63        YES
   4  0b100010000000101        2703360         55        YES
   4  0b100010000010001        3145728         64        YES
   4  0b100010000010100        3096576         63        YES
   4  0b100010001000001        3096576         63        YES
   4  0b100010001000100        2211840         45        YES
   4  0b100010001010000        2703360         55        YES
   4  0b100010100000001        2703360         55        YES
   4  0b100010100000100        2654208         54        YES
   4  0b100010100010000        3096576         63        YES
   4  0b100010101000000        2703360         55        YES
   4  0b101000000000101        3145728         64        YES
   4  0b101000000010001        2703360         55        YES
   4  0b101000000010100        3096576         63        YES
   4  0b101000001000001        3096576         63        YES
   4  0b101000001000100        2703360         55        YES
   4  0b101000001010000        2211840         45        YES
   4  0b101000100000001        2703360         55        YES
   4  0b101000100000100        3096576         63        YES
   4  0b101000100010000        2654208         54        YES
   4  0b101000101000000        2703360         55        YES
   4  0b101010000000001        3096576         63        YES
   4  0b101010000000100        2703360         55        YES
   4  0b101010000010000        2703360         55        YES
   4  0b101010001000000        2654208         54        YES
   4  0b101010100000000        2211840         45        YES
   5        0b101010101        2064384         21        YES
   5      0b10001010101        2064384         21        YES
   5      0b10100010101        2064384         21        YES
   5      0b10101000101        2064384         21        YES
   5      0b10101010001        2359296         24        YES
